#SampleID	Metaphlan2_Analysis
k__Bacteria	99.93997
k__Archaea	0.06003
k__Bacteria|p__Bacteroidetes	58.65585
k__Bacteria|p__Firmicutes	31.75937
k__Bacteria|p__Actinobacteria	4.06723
k__Bacteria|p__Verrucomicrobia	3.97613
k__Bacteria|p__Proteobacteria	1.48139
k__Archaea|p__Euryarchaeota	0.06003
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	58.65585
k__Bacteria|p__Firmicutes|c__Clostridia	31.73495
k__Bacteria|p__Actinobacteria|c__Actinobacteria	4.06723
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	3.97613
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.9785
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.48286
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.06003
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.02002
k__Bacteria|p__Firmicutes|c__Negativicutes	0.01582
k__Bacteria|p__Firmicutes|c__Bacilli	0.0079
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0007
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	58.65585
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	31.73495
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	3.97613
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2.89303
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.17316
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.9785
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.48286
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.06003
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.02002
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.01582
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.0079
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00105
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.0007
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	46.49036
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	23.16396
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	5.95254
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	5.22662
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	4.71462
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	3.97613
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2.89303
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	1.68854
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.32137
