#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	61.53827
k__Bacteria|p__Proteobacteria	20.86671
k__Bacteria|p__Firmicutes	16.19394
k__Bacteria|p__Actinobacteria	0.84814
k__Bacteria|p__Verrucomicrobia	0.55295
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	61.53827
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	19.62151
k__Bacteria|p__Firmicutes|c__Clostridia	16.05459
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.84814
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.74453
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.55295
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.50067
k__Bacteria|p__Firmicutes|c__Negativicutes	0.06391
k__Bacteria|p__Firmicutes|c__Bacilli	0.04111
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.03433
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	61.53827
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	19.62151
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	16.05459
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.74453
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.55295
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.48422
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.48224
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.36392
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.06391
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.04111
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.03433
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.01843
